pow,raw_bytes,aligned_rgba_bytes,width,height,compressible_png_bytes,random_png_bytes,compressible_png,random_png
10,1024,1024,256,1,793,1093,data/png_samples/pow10_1024_compressible.png,data/png_samples/pow10_1024_random.png
11,2048,2048,256,2,1559,2118,data/png_samples/pow11_2048_compressible.png,data/png_samples/pow11_2048_random.png
12,4096,4096,256,4,3146,4168,data/png_samples/pow12_4096_compressible.png,data/png_samples/pow12_4096_random.png
13,8192,8192,256,8,6419,8268,data/png_samples/pow13_8192_compressible.png,data/png_samples/pow13_8192_random.png
14,16384,16384,256,16,13140,16471,data/png_samples/pow14_16384_compressible.png,data/png_samples/pow14_16384_random.png
15,32768,32768,256,32,26212,32875,data/png_samples/pow15_32768_compressible.png,data/png_samples/pow15_32768_random.png
16,65536,65536,256,64,52370,65686,data/png_samples/pow16_65536_compressible.png,data/png_samples/pow16_65536_random.png
17,131072,131072,256,128,104701,131308,data/png_samples/pow17_131072_compressible.png,data/png_samples/pow17_131072_random.png
18,262144,262144,256,256,209392,262548,data/png_samples/pow18_262144_compressible.png,data/png_samples/pow18_262144_random.png
19,524288,524288,256,512,418718,525028,data/png_samples/pow19_524288_compressible.png,data/png_samples/pow19_524288_random.png
20,1048576,1048576,256,1024,837579,1049988,data/png_samples/pow20_1048576_compressible.png,data/png_samples/pow20_1048576_random.png
21,2097152,2097152,256,2048,1675129,2099908,data/png_samples/pow21_2097152_compressible.png,data/png_samples/pow21_2097152_random.png
