size,mem0_us,mem1_us,mem1_over_mem0
geomean_ratio,,,1.9704644378368579
1,32.272,33.904,1.0505701536936045
2,31.351,33.429,1.0662817772957802
4,30.72,33.358,1.0858723958333332
8,30.932,33.594,1.0860597439544808
16,30.866,33.651,1.0902287306421306
32,31.243,33.868,1.0840188202157284
64,31.513,34.588,1.0975787770126615
128,33.229,36.466,1.0974149086641187
256,33.872,38.988,1.1510392064241852
512,35.063,42.462,1.2110201637053304
1024,37.314,50.718,1.3592217398295547
2048,42.302,68.419,1.6173939766441303
4096,52.358,103.652,1.9796783681576837
8192,70.362,173.705,2.468733122992525
16384,105.486,314.38,2.980300703410879
32768,153.181,566.474,3.6980696039326024
65536,249.545,1075.677,4.310553206836442
131072,460.765,2072.051,4.496980022354128
262144,883.133,4103.805,4.646870856371577
524288,1729.19,8155.151,4.716168263753549
1048576,3421.437,16289.361,4.760970609717496
2097152,6765.076,32579.2,4.815792165527778
