bench,size,baseline_us_median,new_us_median,ratio_new_over_base,delta_percent
compress,1,33.904,35.277,1.040497,4.050
compress,2,33.429,33.339,0.997308,-0.269
compress,4,33.358,33.557,1.005966,0.597
compress,8,33.594,33.004,0.982437,-1.756
compress,16,33.651,33.859,1.006181,0.618
compress,32,33.868,34.101,1.006880,0.688
compress,64,34.588,34.908,1.009252,0.925
compress,128,36.466,35.480,0.972961,-2.704
compress,256,38.988,36.219,0.928978,-7.102
compress,512,42.462,37.553,0.884391,-11.561
compress,1024,50.718,39.803,0.784790,-21.521
compress,2048,68.419,45.219,0.660913,-33.909
compress,4096,103.652,55.274,0.533265,-46.673
compress,8192,173.705,78.021,0.449158,-55.084
compress,16384,314.380,121.444,0.386297,-61.370
compress,32768,566.474,182.625,0.322389,-67.761
compress,65536,1075.677,305.599,0.284099,-71.590
compress,131072,2072.051,574.334,0.277181,-72.282
compress,262144,4103.805,1109.477,0.270353,-72.965
compress,524288,8155.151,2137.516,0.262106,-73.789
compress,1048576,16289.361,4417.855,0.271211,-72.879
compress,2097152,32579.200,8846.771,0.271547,-72.845
uncompress,1,29.881,30.352,1.015763,1.576
uncompress,2,29.886,29.596,0.990296,-0.970
uncompress,4,29.785,29.543,0.991875,-0.812
uncompress,8,30.008,29.625,0.987237,-1.276
uncompress,16,29.949,29.866,0.997229,-0.277
uncompress,32,29.680,29.866,1.006267,0.627
uncompress,64,30.044,30.156,1.003728,0.373
uncompress,128,31.357,30.413,0.969895,-3.010
uncompress,256,32.796,30.460,0.928772,-7.123
uncompress,512,34.582,30.847,0.891996,-10.800
uncompress,1024,39.347,32.820,0.834117,-16.588
uncompress,2048,47.551,34.686,0.729448,-27.055
uncompress,4096,64.610,40.356,0.624609,-37.539
uncompress,8192,98.526,50.342,0.510951,-48.905
uncompress,16384,166.250,73.301,0.440908,-55.909
uncompress,32768,298.678,113.700,0.380678,-61.932
uncompress,65536,566.325,196.192,0.346430,-65.357
uncompress,131072,1085.047,363.307,0.334831,-66.517
uncompress,262144,2134.012,694.325,0.325361,-67.464
uncompress,524288,4233.885,1327.578,0.313560,-68.644
uncompress,1048576,8441.444,2727.240,0.323077,-67.692
uncompress,2097152,16908.363,5430.000,0.321143,-67.886
